Data,Salário mínimo real - R$ - Instituto de Pesquisa Econômica Aplicada (IPEA) - GAC12_SALMINRE12,
1992.03,361.503970569635,
1992.04,299.158574820965,
1992.05,575.466570074409,
1992.06,476.182491687478,
1992.07,390.057844794866,
1992.08,318.726724696514,
1992.09,583.666709296518,
1992.10,462.970689934043,
1992.11,376.73575705691,
1992.12,299.996803825662,
1993.01,557.993579157749,
1993.02,447.14597106537,
1993.03,479.024138438325,
1993.04,373.158872128974,
1993.05,568.783959902546,
1993.06,436.284334277643,
1993.07,467.752869350869,
1993.08,418.404040251722,
1993.09,535.480332786469,
1993.10,499.754110121923,
1993.11,459.057769489727,
1993.12,416.267756102361,
1994.01,516.290975831206,
1994.02,478.397942135749,
1994.03,392.666340584742,
1994.04,390.896810323028,
1994.05,393.917512273076,
1994.06,310.016649305711,
1994.07,347.251359698397,
1994.08,340.942386063531,
1994.09,363.272945975629,
1994.10,353.309834081037,
1994.11,343.151534912213,
1994.12,337.414118058524,
1995.01,332.625031126094,
1995.02,329.297803145948,
1995.03,324.047005915393,
1995.04,316.173495862427,
1995.05,442.385469978779,
1995.06,432.947058874859,
1995.07,422.552760224156,
1995.08,418.285054292844,
1995.09,413.447051764941,
1995.10,407.738897472141,
1995.11,401.67501882271,
1995.12,395.155265652004,
1996.01,389.469511429289,
1996.02,386.725229157573,
1996.03,385.60714396742,
1996.04,382.052901089593,
1996.05,422.492233533799,
1996.06,416.94780755725,
1996.07,412.004715477294,
1996.08,409.956074924935,
1996.09,409.874432052871,
1996.10,408.323371861475,
1996.11,406.938910614116,
1996.12,405.599328491661,
1997.01,402.339615537776,
1997.02,400.535805156519,
1997.03,397.831729667812,
1997.04,395.459200956461,
1997.05,423.23942760871,
1997.06,421.764318350866,
1997.07,421.006795409386,
1997.08,421.131867276855,
1997.09,420.712276883506,
1997.10,419.496928019841,
1997.11,418.868306822099,
1997.12,416.49488286196,
1998.01,412.984753686722,
1998.02,410.768020752843,
1998.03,408.765705026982,
1998.04,406.935731909862,
1998.05,437.696896079043,
1998.06,437.041461414933,
1998.07,438.267921451383,
1998.08,440.425608915049,
1998.09,441.795198465701,
1998.10,441.30853334793,
1998.11,442.104076275078,
1998.12,440.254255798397,
1999.01,437.411941027276,
1999.02,431.841791644349,
1999.03,426.383534295838,
1999.04,424.388846120948,
1999.05,443.754121755371,
1999.06,443.444997206979,
1999.07,440.187669204324,
1999.08,437.780165310704,
1999.09,436.079800950011,
1999.10,431.934502624504,
1999.11,427.913398609913,
1999.12,424.769808945265,
2000.01,422.194463910301,
2000.02,421.983239943966,
2000.03,421.435045468172,
2000.04,467.496399510783,
2000.05,467.729890870043,
2000.06,466.329528125136,
2000.07,459.936785560808,
2000.08,454.437999284246,
2000.09,452.492015461738,
2000.10,451.768945035728,
2000.11,450.462390870391,
2000.12,447.997697795265,
2001.01,444.573626712715,
2001.02,442.405166966843,
2001.03,440.291393880981,
2001.04,520.479640065972,
2001.05,517.529858314258,
2001.06,514.44435483871,
2001.07,508.79659539558,
2001.08,504.807646653176,
2001.09,502.597415753101,
2001.10,497.917842129325,
2001.11,491.57588233999,
2001.12,487.966014643208,
2002.01,482.800873617403,
2002.02,481.309936351731,
2002.03,478.34526863809,
2002.04,527.903772390422,
2002.05,527.429573721697,
2002.06,524.230801741262,
2002.07,518.270179928446,
2002.08,513.849993785989,
2002.09,509.619700588039,
2002.10,501.74241045244,
2002.11,485.292161427258,
2002.12,472.533417144055,
2003.01,461.143021786006,
2003.02,454.506563579235,
2003.03,448.364111207002,
2003.04,530.713505756091,
2003.05,525.51158028527,
2003.06,525.827180556046,
2003.07,525.615964899116,
2003.08,524.671058139279,
2003.09,520.403817914831,
2003.10,518.382990579344,
2003.11,516.471863912768,
2003.12,513.697924530744,
2004.01,509.46925258956,
2004.02,507.489036349456,
2004.03,504.613689527749,
2004.04,502.554285207835,
2004.05,542.264230256714,
2004.06,539.567425129664,
2004.07,535.657759784076,
2004.08,532.993071078259,
2004.09,532.089506682066,
2004.10,531.186813367813,
2004.11,528.858851841375,
2004.12,524.348851104996,
2005.01,521.377651856552,
2005.02,519.092913766046,
2005.03,515.331250699094,
2005.04,510.683921742504,
2005.05,585.155089043519,
2005.06,585.799913416506,
2005.07,585.62474917967,
2005.08,585.62474917967,
2005.09,584.748199743073,
2005.10,581.377063779426,
2005.11,578.255667139333,
2005.12,575.95101282721,
2006.01,573.770801450946,
2006.02,572.453406355042,
2006.03,570.912026879823,
2006.04,665.265353658023,
2006.05,664.40248997582,
2006.06,664.868005436759,
2006.07,664.138225125444,
2006.08,664.270331267692,
2006.09,663.209885501722,
2006.10,660.370050653321,
2006.11,657.609214293288,
2006.12,653.557704973561,
2007.01,650.370776796114,
2007.02,647.65168128655,
2007.03,644.813930518217,
2007.04,698.268717963912,
2007.05,696.457980865133,
2007.06,694.306147325161,
2007.07,692.091344918471,
2007.08,688.032624760515,
2007.09,686.316988824579,
2007.10,684.264519079315,
2007.11,681.334277733007,
2007.12,674.789247073224,
2008.01,670.164823641902,
2008.02,666.964316667905,
2008.03,724.698440464165,
2008.04,720.090840418128,
2008.05,713.243783903618,
2008.06,706.811899915211,
2008.07,702.735108514247,
2008.08,701.263188905313,
2008.09,700.213886376157,
2008.10,696.730918897702,
2008.11,694.093379088558,
2008.12,692.086998463922,
2009.01,687.685970976738,
2009.02,768.158888337667,
2009.03,766.62483717901,
2009.04,762.431947891434,
2009.05,757.883629256114,
2009.06,754.715171757286,
2009.07,752.983540907845,
2009.08,752.381922182618,
2009.09,751.179118424651,
2009.10,749.380889274334,
2009.11,746.618679775281,
2009.12,744.830169491525,
2010.01,809.783887402552,
2010.02,804.155652237473,
2010.03,798.486669170109,
2010.04,792.700823909025,
2010.05,789.305827196077,
2010.06,790.175904818412,
2010.07,790.72901758092,
2010.08,791.282905229187,
2010.09,787.032493647145,
2010.10,779.857520179248,
2010.11,771.906903105162,
2010.12,767.302744893503,
2011.01,804.872144582367,
2011.02,800.548055719895,
2011.03,802.662600962352,
2011.04,796.923703762647,
2011.05,792.407126300027,
2011.06,790.667043866267,
2011.07,790.667043866267,
2011.08,787.360990594881,
2011.09,783.832455011363,
2011.10,781.332018608414,
2011.11,776.905131991771,
2011.12,772.963164649956,
2012.01,877.694855962982,
2012.02,874.285844603974,
2012.03,872.715864904685,
2012.04,867.163928391794,
2012.05,862.421447694208,
2012.06,860.188272611472,
2012.07,856.504582165358,
2012.08,852.668508638387,
2012.09,847.328385665492,
2012.10,841.356843158477,
2012.11,836.837246256555,
2012.12,830.690043525425,
2013.01,897.224068813763,
2013.02,892.581715422886,
2013.03,887.258751477042,
2013.04,882.054403431811,
2013.05,878.977533785549,
2013.06,876.522314867893,
2013.07,877.663474056893,
2013.08,876.262025454943,
2013.09,873.901384923532,
2013.10,868.603084597925,
2013.11,863.938500654904,
2013.12,857.76143752518,
2014.01,910.224840615846,
2014.02,904.435813379661,
2014.03,897.079297849546,
2014.04,890.13696444059,
2014.05,884.828650322314,
2014.06,882.533030978289,
2014.07,881.387519751887,
2014.08,879.803012564599,
2014.09,875.514324014721,
2014.10,872.200180163118,
2014.11,867.601470417746,
2014.12,862.255483090454,
2015.01,924.791524349282,
2015.02,914.184951446095,
2015.03,900.587764842465,
2015.04,894.239272840387,
2015.05,885.471804174962,
2015.06,878.707418595034,
2015.07,873.639580172373,
2015.08,871.460524790699,
2015.09,867.038711623245,
2015.10,860.413744839303,
2015.11,850.967621452203,
2015.12,843.377153642884,
2016.01,927.832205280774,
2016.02,919.101643002242,
2016.03,915.073773515308,
2016.04,909.255813856627,
2016.05,900.431309871209,
2016.06,896.21909215188,
2016.07,890.519608722965,
2016.08,887.767358258847,
2016.09,887.058522363649,
2016.10,885.552630404712,
2016.11,884.933409271018,
2016.12,883.695772732241,
2017.01,937,
